date,price,timestamp,ema8,ema21,sma50,sma100,sma200,sma400,risk
1999-01-22,0.041016001254320145,917015400000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-01-25,0.04531300067901611,917274600000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-01-26,0.04179700091481209,917361000000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-01-27,0.04166699945926666,917447400000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-01-28,0.04153599962592125,917533800000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-01-29,0.0395830012857914,917620200000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-02-01,0.04036499932408333,917879400000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-02-02,0.03723999857902527,917965800000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-02-03,0.03802099823951721,918052200000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-02-04,0.04010400176048279,918138600000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-02-05,0.0412760004401207,918225000000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-02-08,0.03984399884939194,918484200000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-02-09,0.03828100115060806,918570600000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-02-10,0.037891000509262085,918657000000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-02-11,0.04114599898457527,918743400000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-02-12,0.04349000006914139,918829800000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-02-16,0.04374999925494194,919175400000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-02-17,0.041405998170375824,919261800000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-02-18,0.04205700010061264,919348200000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-02-19,0.04349000006914139,919434600000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
1999-02-22,0.04374999925494194,919693800000,0.04,0.04,0.00,0.00,0.00,0.00,5.00
