date,price,timestamp,ema8,ema21,sma50,sma100,sma200,sma400,risk
1999-01-04,0.3683040142059326,915460200000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-05,0.3867189884185791,915546600000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-06,0.37276801466941833,915633000000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-07,0.4017859995365143,915719400000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-08,0.4017859995365143,915805800000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-11,0.4095979928970337,916065000000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-12,0.41183000802993774,916151400000,0.38,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-13,0.4151790142059326,916237800000,0.38,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-14,0.36941999197006226,916324200000,0.38,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-15,0.36886200308799744,916410600000,0.38,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-19,0.36495500802993774,916756200000,0.38,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-20,0.36216500401496887,916842600000,0.38,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-21,0.34654000401496887,916929000000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-22,0.34598198533058167,917015400000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-25,0.3515630066394806,917274600000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-26,0.36160698533058167,917361000000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-27,0.358258992433548,917447400000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-28,0.36495500802993774,917533800000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-01-29,0.3677459955215454,917620200000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-02-01,0.36551299691200256,917879400000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-02-02,0.34988799691200256,917965800000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-02-03,0.3588170111179352,918052200000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-02-04,0.33816999197006226,918138600000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-02-05,0.3242189884185791,918225000000,0.37,0.37,0.00,0.00,0.00,0.00,5.00
1999-02-08,0.3370540142059326,918484200000,0.36,0.37,0.00,0.00,0.00,0.00,5.00
1999-02-09,0.3320310115814209,918570600000,0.36,0.37,0.00,0.00,0.00,0.00,5.00
1999-02-10,0.34207600355148315,918657000000,0.36,0.37,0.00,0.00,0.00,0.00,5.00
1999-02-11,0.35379499197006226,918743400000,0.36,0.37,0.00,0.00,0.00,0.00,5.00
1999-02-12,0.3364959955215454,918829800000,0.36,0.37,0.00,0.00,0.00,0.00,5.00
1999-02-16,0.34207600355148315,919175400000,0.36,0.36,0.00,0.00,0.00,0.00,5.00
1999-02-17,0.33035698533058167,919261800000,0.36,0.36,0.00,0.00,0.00,0.00,5.00
1999-02-18,0.3214290142059326,919348200000,0.36,0.36,0.00,0.00,0.00,0.00,5.00
1999-02-19,0.3320310115814209,919434600000,0.35,0.36,0.00,0.00,0.00,0.00,5.00
1999-02-22,0.3431920111179352,919693800000,0.35,0.36,0.00,0.00,0.00,0.00,5.00
1999-02-23,0.3431920111179352,919780200000,0.35,0.36,0.00,0.00,0.00,0.00,5.00
1999-02-24,0.33426299691200256,919866600000,0.35,0.36,0.00,0.00,0.00,0.00,5.00
1999-02-25,0.32979899644851685,919953000000,0.35,0.36,0.00,0.00,0.00,0.00,5.00
1999-02-26,0.31082600355148315,920039400000,0.35,0.36,0.00,0.00,0.00,0.00,5.00
1999-03-01,0.3013390004634857,920298600000,0.35,0.36,0.00,0.00,0.00,0.00,5.00
1999-03-02,0.3091520071029663,920385000000,0.35,0.36,0.00,0.00,0.00,0.00,5.00
1999-03-03,0.3052459955215454,920471400000,0.34,0.36,0.00,0.00,0.00,0.00,5.00
1999-03-04,0.29854899644851685,920557800000,0.34,0.36,0.00,0.00,0.00,0.00,5.00
1999-03-05,0.2963170111179352,920644200000,0.34,0.35,0.00,0.00,0.00,0.00,5.00
1999-03-08,0.30691999197006226,920903400000,0.34,0.35,0.00,0.00,0.00,0.00,5.00
1999-03-09,0.3046880066394806,920989800000,0.34,0.35,0.00,0.00,0.00,0.00,5.00
1999-03-10,0.29073700308799744,921076200000,0.33,0.35,0.00,0.00,0.00,0.00,5.00
1999-03-11,0.28738799691200256,921162600000,0.33,0.35,0.00,0.00,0.00,0.00,5.00
1999-03-12,0.2963170111179352,921249000000,0.33,0.35,0.00,0.00,0.00,0.00,5.00
1999-03-15,0.3041290044784546,921508200000,0.33,0.35,0.00,0.00,0.00,0.00,5.00
1999-03-16,0.3169640004634857,921594600000,0.33,0.35,0.00,0.00,0.00,0.00,5.00
1999-03-17,0.3041290044784546,921681000000,0.33,0.35,0.00,0.00,0.00,0.00,5.00
1999-03-18,0.3169640004634857,921767400000,0.33,0.35,0.00,0.00,0.00,0.00,5.00
1999-03-19,0.29910698533058167,921853800000,0.32,0.35,0.00,0.00,0.00,0.00,5.00
1999-03-22,0.3130579888820648,922113000000,0.32,0.35,0.00,0.00,0.00,0.00,5.00
1999-03-23,0.29464301466941833,922199400000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-03-24,0.3007810115814209,922285800000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-03-25,0.30189698934555054,922372200000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-03-26,0.296875,922458600000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-03-29,0.3158479928970337,922717800000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-03-30,0.3203130066394806,922804200000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-03-31,0.3208709955215454,922890600000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-04-01,0.32198700308799744,922977000000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-04-05,0.33091500401496887,923319000000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-04-06,0.3392859995365143,923405400000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-04-07,0.3314729928970337,923491800000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-04-08,0.329241007566452,923578200000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-04-09,0.328125,923664600000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-04-12,0.3236609995365143,923923800000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-04-13,0.3091520071029663,924010200000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-04-14,0.3172430098056793,924096600000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-04-15,0.3191959857940674,924183000000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-04-16,0.3164060115814209,924269400000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-04-19,0.30245500802993774,924528600000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-04-20,0.3041290044784546,924615000000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-04-21,0.30691999197006226,924701400000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-04-22,0.3247770071029663,924787800000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
1999-04-23,0.34988799691200256,924874200000,0.32,0.34,0.00,0.00,0.00,0.00,5.00
