date,price,timestamp,ema8,ema21,sma50,sma100,sma200,sma400,risk
2014-09-17,457.3340148925781,1410912000000,457.33,457.33,0.00,0.00,0.00,0.00,5.00
2014-09-18,424.44000244140625,1410998400000,455.73,456.71,0.00,0.00,0.00,0.00,5.00
2014-09-19,394.7959899902344,1411084800000,452.76,455.55,0.00,0.00,0.00,0.00,5.00
2014-09-20,408.90399169921875,1411171200000,450.62,454.67,0.00,0.00,0.00,0.00,5.00
2014-09-21,398.8210144042969,1411257600000,448.09,453.61,0.00,0.00,0.00,0.00,5.00
2014-09-22,402.1520080566406,1411344000000,445.85,452.64,0.00,0.00,0.00,0.00,5.00
2014-09-23,435.7909851074219,1411430400000,445.36,452.32,0.00,0.00,0.00,0.00,5.00
2014-09-24,423.2049865722656,1411516800000,444.28,451.77,0.00,0.00,0.00,0.00,5.00
2014-09-25,411.5740051269531,1411603200000,442.68,451.01,0.00,0.00,0.00,0.00,5.00
2014-09-26,404.42498779296875,1411689600000,440.82,450.14,0.00,0.00,0.00,0.00,5.00
2014-09-27,399.5199890136719,1411776000000,438.80,449.18,0.00,0.00,0.00,0.00,5.00
2014-09-28,377.1809997558594,1411862400000,435.80,447.82,0.00,0.00,0.00,0.00,5.00
2014-09-29,375.4670104980469,1411948800000,432.85,446.46,0.00,0.00,0.00,0.00,5.00
2014-09-30,386.9440002441406,1412035200000,430.61,445.33,0.00,0.00,0.00,0.00,5.00
2014-10-01,383.614990234375,1412121600000,428.32,444.17,0.00,0.00,0.00,0.00,5.00
2014-10-02,375.0719909667969,1412208000000,425.72,442.87,0.00,0.00,0.00,0.00,5.00
2014-10-03,359.5119934082031,1412294400000,422.49,441.29,0.00,0.00,0.00,0.00,5.00
2014-10-04,328.8659973144531,1412380800000,417.93,439.17,0.00,0.00,0.00,0.00,5.00
2014-10-05,320.510009765625,1412467200000,413.18,436.93,0.00,0.00,0.00,0.00,5.00
2014-10-06,330.0790100097656,1412553600000,409.12,434.92,0.00,0.00,0.00,0.00,5.00
2014-10-07,336.18701171875,1412640000000,405.56,433.05,0.00,0.00,0.00,0.00,5.00
2014-10-08,352.94000244140625,1412726400000,403.00,431.54,0.00,0.00,0.00,0.00,5.00
2014-10-09,365.0260009765625,1412812800000,401.14,430.29,0.00,0.00,0.00,0.00,5.00
2014-10-10,361.56201171875,1412899200000,399.21,428.99,0.00,0.00,0.00,0.00,5.00
2014-10-11,362.29901123046875,1412985600000,397.41,427.73,0.00,0.00,0.00,0.00,5.00
2014-10-12,378.54901123046875,1413072000000,396.49,426.80,0.00,0.00,0.00,0.00,5.00
2014-10-13,390.41400146484375,1413158400000,396.20,426.12,0.00,0.00,0.00,0.00,5.00
2014-10-14,400.8699951171875,1413244800000,396.42,425.64,0.00,0.00,0.00,0.00,5.00
2014-10-15,394.77301025390625,1413331200000,396.34,425.06,0.00,0.00,0.00,0.00,5.00
2014-10-16,382.5559997558594,1413417600000,395.67,424.26,0.00,0.00,0.00,0.00,5.00
2014-10-17,383.75799560546875,1413504000000,395.09,423.49,0.00,0.00,0.00,0.00,5.00
2014-10-18,391.4419860839844,1413590400000,394.91,422.89,0.00,0.00,0.00,0.00,5.00
2014-10-19,389.5459899902344,1413676800000,394.65,422.26,0.00,0.00,0.00,0.00,5.00
2014-10-20,382.8450012207031,1413763200000,394.07,421.52,0.00,0.00,0.00,0.00,5.00
2014-10-21,386.4750061035156,1413849600000,393.70,420.85,0.00,0.00,0.00,0.00,5.00
2014-10-22,383.1579895019531,1413936000000,393.19,420.14,0.00,0.00,0.00,0.00,5.00
2014-10-23,358.4169921875,1414022400000,391.49,418.98,0.00,0.00,0.00,0.00,5.00
2014-10-24,358.3450012207031,1414108800000,389.88,417.83,0.00,0.00,0.00,0.00,5.00
2014-10-25,347.27099609375,1414195200000,387.80,416.50,0.00,0.00,0.00,0.00,5.00
2014-10-26,354.7040100097656,1414281600000,386.18,415.34,0.00,0.00,0.00,0.00,5.00
2014-10-27,352.989013671875,1414368000000,384.56,414.16,0.00,0.00,0.00,0.00,5.00
2014-10-28,357.6180114746094,1414454400000,383.25,413.09,0.00,0.00,0.00,0.00,5.00
2014-10-29,335.59100341796875,1414540800000,380.92,411.63,0.00,0.00,0.00,0.00,5.00
2014-10-30,345.30499267578125,1414627200000,379.19,410.38,0.00,0.00,0.00,0.00,5.00
2014-10-31,338.3210144042969,1414713600000,377.19,409.02,0.00,0.00,0.00,0.00,5.00
2014-11-01,325.7489929199219,1414800000000,374.68,407.45,0.00,0.00,0.00,0.00,5.00
2014-11-02,325.8919982910156,1414886400000,372.30,405.91,0.00,0.00,0.00,0.00,5.00
2014-11-03,327.5539855957031,1414972800000,370.12,404.43,0.00,0.00,0.00,0.00,5.00
2014-11-04,330.49200439453125,1415059200000,368.19,403.04,0.00,0.00,0.00,0.00,5.00
2014-11-05,339.4859924316406,1415145600000,366.79,401.84,0.00,0.00,0.00,0.00,5.00
2014-11-06,349.2900085449219,1415232000000,365.93,400.85,0.00,0.00,0.00,0.00,5.00
2014-11-07,342.4150085449219,1415318400000,364.79,399.74,0.00,0.00,0.00,0.00,5.00
2014-11-08,345.4880065917969,1415404800000,363.85,398.72,0.00,0.00,0.00,0.00,5.00
2014-11-09,363.2640075683594,1415491200000,363.82,398.05,0.00,0.00,0.00,0.00,5.00
2014-11-10,366.92401123046875,1415577600000,363.97,397.46,0.00,0.00,0.00,0.00,5.00
2014-11-11,367.69500732421875,1415664000000,364.15,396.90,0.00,0.00,0.00,0.00,5.00
2014-11-12,423.5610046386719,1415750400000,367.05,397.41,0.00,0.00,0.00,0.00,5.00
2014-11-13,420.7349853515625,1415836800000,369.67,397.85,0.00,0.00,0.00,0.00,5.00
2014-11-14,397.8179931640625,1415923200000,371.04,397.84,0.00,0.00,0.00,0.00,5.00
2014-11-15,376.13299560546875,1416009600000,371.29,397.44,0.00,0.00,0.00,0.00,5.00
2014-11-16,387.8819885253906,1416096000000,372.10,397.25,0.00,0.00,0.00,0.00,5.00
2014-11-17,387.4079895019531,1416182400000,372.85,397.07,0.00,0.00,0.00,0.00,5.00
2014-11-18,375.197998046875,1416268800000,372.96,396.66,0.00,0.00,0.00,0.00,5.00
2014-11-19,380.55499267578125,1416355200000,373.33,396.35,0.00,0.00,0.00,0.00,5.00
2014-11-20,357.8399963378906,1416441600000,372.58,395.63,0.00,0.00,0.00,0.00,5.00
2014-11-21,350.8479919433594,1416528000000,371.52,394.78,0.00,0.00,0.00,0.00,5.00
2014-11-22,352.9200134277344,1416614400000,370.61,393.99,0.00,0.00,0.00,0.00,5.00
2014-11-23,367.572998046875,1416700800000,370.46,393.49,0.00,0.00,0.00,0.00,5.00
