date,price,timestamp,ema8,ema21,sma50,sma100,sma200,sma400,risk
2017-11-09,320.8840026855469,1510185600000,320.88,320.88,0.00,0.00,0.00,0.00,5.00
2017-11-10,299.25299072265625,1510272000000,319.83,320.48,0.00,0.00,0.00,0.00,5.00
2017-11-11,314.6809997558594,1510358400000,319.58,320.37,0.00,0.00,0.00,0.00,5.00
2017-11-12,307.9079895019531,1510444800000,319.01,320.13,0.00,0.00,0.00,0.00,5.00
2017-11-13,316.71600341796875,1510531200000,318.90,320.07,0.00,0.00,0.00,0.00,5.00
2017-11-14,337.6310119628906,1510617600000,319.81,320.40,0.00,0.00,0.00,0.00,5.00
2017-11-15,333.35699462890625,1510704000000,320.47,320.64,0.00,0.00,0.00,0.00,5.00
2017-11-16,330.92401123046875,1510790400000,320.98,320.84,0.00,0.00,0.00,0.00,5.00
2017-11-17,332.3940124511719,1510876800000,321.54,321.05,0.00,0.00,0.00,0.00,5.00
2017-11-18,347.61199951171875,1510963200000,322.81,321.56,0.00,0.00,0.00,0.00,5.00
2017-11-19,354.385986328125,1511049600000,324.35,322.18,0.00,0.00,0.00,0.00,5.00
2017-11-20,366.7300109863281,1511136000000,326.42,323.02,0.00,0.00,0.00,0.00,5.00
2017-11-21,360.4010009765625,1511222400000,328.08,323.72,0.00,0.00,0.00,0.00,5.00
2017-11-22,380.6520080566406,1511308800000,330.64,324.80,0.00,0.00,0.00,0.00,5.00
2017-11-23,410.1659851074219,1511395200000,334.52,326.41,0.00,0.00,0.00,0.00,5.00
2017-11-24,474.9110107421875,1511481600000,341.37,329.21,0.00,0.00,0.00,0.00,5.00
2017-11-25,466.2760009765625,1511568000000,347.46,331.79,0.00,0.00,0.00,0.00,5.00
2017-11-26,471.3299865722656,1511654400000,353.50,334.43,0.00,0.00,0.00,0.00,5.00
2017-11-27,480.3550109863281,1511740800000,359.69,337.18,0.00,0.00,0.00,0.00,5.00
2017-11-28,472.9020080566406,1511827200000,365.21,339.74,0.00,0.00,0.00,0.00,5.00
2017-11-29,427.52301025390625,1511913600000,368.25,341.40,0.00,0.00,0.00,0.00,5.00
2017-11-30,447.114013671875,1512000000000,372.10,343.39,0.00,0.00,0.00,0.00,5.00
2017-12-01,466.5400085449219,1512086400000,376.71,345.72,0.00,0.00,0.00,0.00,5.00
2017-12-02,463.4490051269531,1512172800000,380.94,347.94,0.00,0.00,0.00,0.00,5.00
2017-12-03,465.8529968261719,1512259200000,385.08,350.16,0.00,0.00,0.00,0.00,5.00
2017-12-04,470.2040100097656,1512345600000,389.23,352.43,0.00,0.00,0.00,0.00,5.00
2017-12-05,463.281005859375,1512432000000,392.84,354.52,0.00,0.00,0.00,0.00,5.00
2017-12-06,428.5880126953125,1512518400000,394.59,355.92,0.00,0.00,0.00,0.00,5.00
2017-12-07,434.4079895019531,1512604800000,396.53,357.40,0.00,0.00,0.00,0.00,5.00
2017-12-08,456.031005859375,1512691200000,399.43,359.26,0.00,0.00,0.00,0.00,5.00
2017-12-09,473.50201416015625,1512777600000,403.05,361.41,0.00,0.00,0.00,0.00,5.00
2017-12-10,441.72100830078125,1512864000000,404.93,362.93,0.00,0.00,0.00,0.00,5.00
2017-12-11,515.135986328125,1512950400000,410.31,365.80,0.00,0.00,0.00,0.00,5.00
2017-12-12,651.4310302734375,1513036800000,422.07,371.19,0.00,0.00,0.00,0.00,5.00
2017-12-13,702.7670288085938,1513123200000,435.76,377.45,0.00,0.00,0.00,0.00,5.00
2017-12-14,695.8159790039062,1513209600000,448.45,383.45,0.00,0.00,0.00,0.00,5.00
2017-12-15,684.447998046875,1513296000000,459.96,389.13,0.00,0.00,0.00,0.00,5.00
2017-12-16,696.208984375,1513382400000,471.49,394.93,0.00,0.00,0.00,0.00,5.00
2017-12-17,719.9749755859375,1513468800000,483.61,401.06,0.00,0.00,0.00,0.00,5.00
2017-12-18,794.64501953125,1513555200000,498.78,408.49,0.00,0.00,0.00,0.00,5.00
2017-12-19,826.822998046875,1513641600000,514.78,416.38,0.00,0.00,0.00,0.00,5.00
2017-12-20,819.0859985351562,1513728000000,529.63,423.98,0.00,0.00,0.00,0.00,5.00
2017-12-21,821.06298828125,1513814400000,543.84,431.47,0.00,0.00,0.00,0.00,5.00
2017-12-22,674.8599853515625,1513900800000,550.23,436.06,0.00,0.00,0.00,0.00,5.00
2017-12-23,719.3870239257812,1513987200000,558.48,441.41,0.00,0.00,0.00,0.00,5.00
2017-12-24,694.1480102539062,1514073600000,565.10,446.18,0.00,0.00,0.00,0.00,5.00
2017-12-25,765.833984375,1514160000000,574.89,452.21,0.00,0.00,0.00,0.00,5.00
2017-12-26,773.8359985351562,1514246400000,584.60,458.28,0.00,0.00,0.00,0.00,5.00
2017-12-27,762.8419799804688,1514332800000,593.29,464.02,0.00,0.00,0.00,0.00,5.00
2017-12-28,737.0230102539062,1514419200000,600.30,469.17,0.00,0.00,0.00,0.00,5.00
2017-12-29,753.5919799804688,1514505600000,607.78,474.54,0.00,0.00,0.00,0.00,5.00
2017-12-30,717.2570190429688,1514592000000,613.12,479.12,0.00,0.00,0.00,0.00,5.00
2017-12-31,756.7329711914062,1514678400000,620.13,484.36,0.00,0.00,0.00,0.00,5.00
2018-01-01,772.6409912109375,1514764800000,627.57,489.80,0.00,0.00,0.00,0.00,5.00
2018-01-02,884.4439697265625,1514851200000,640.10,497.24,0.00,0.00,0.00,0.00,5.00
2018-01-03,962.719970703125,1514937600000,655.84,506.03,0.00,0.00,0.00,0.00,5.00
2018-01-04,980.9219970703125,1515024000000,671.69,514.99,0.00,0.00,0.00,0.00,5.00
2018-01-05,997.719970703125,1515110400000,687.60,524.09,0.00,0.00,0.00,0.00,5.00
2018-01-06,1041.6800537109375,1515196800000,704.87,533.86,0.00,0.00,0.00,0.00,5.00
2018-01-07,1153.1700439453125,1515283200000,726.74,545.54,0.00,0.00,0.00,0.00,5.00
2018-01-08,1148.530029296875,1515369600000,747.31,556.92,0.00,0.00,0.00,0.00,5.00
2018-01-09,1299.739990234375,1515456000000,774.26,570.94,0.00,0.00,0.00,0.00,5.00
2018-01-10,1255.8199462890625,1515542400000,797.75,583.86,0.00,0.00,0.00,0.00,5.00
2018-01-11,1154.9300537109375,1515628800000,815.17,594.63,0.00,0.00,0.00,0.00,5.00
2018-01-12,1273.199951171875,1515715200000,837.52,607.44,0.00,0.00,0.00,0.00,5.00
2018-01-13,1396.4200439453125,1515801600000,864.78,622.32,0.00,0.00,0.00,0.00,5.00
2018-01-14,1366.77001953125,1515888000000,889.27,636.37,0.00,0.00,0.00,0.00,5.00
2018-01-15,1291.9200439453125,1515974400000,908.91,648.74,0.00,0.00,0.00,0.00,5.00
2018-01-16,1053.68994140625,1516060800000,915.97,656.38,0.00,0.00,0.00,0.00,5.00
2018-01-17,1014.25,1516147200000,920.77,663.13,0.00,0.00,0.00,0.00,5.00
2018-01-18,1036.280029296875,1516233600000,926.40,670.17,0.00,0.00,0.00,0.00,5.00
2018-01-19,1039.0999755859375,1516320000000,931.90,677.13,0.00,0.00,0.00,0.00,5.00
2018-01-20,1155.1500244140625,1516406400000,942.79,686.15,0.00,0.00,0.00,0.00,5.00
2018-01-21,1049.5799560546875,1516492800000,948.00,693.01,0.00,0.00,0.00,0.00,5.00
2018-01-22,1003.260009765625,1516579200000,950.69,698.86,0.00,0.00,0.00,0.00,5.00
2018-01-23,986.22900390625,1516665600000,952.43,704.29,0.00,0.00,0.00,0.00,5.00
2018-01-24,1058.780029296875,1516752000000,957.62,710.97,0.00,0.00,0.00,0.00,5.00
2018-01-25,1056.030029296875,1516838400000,962.42,717.48,0.00,0.00,0.00,0.00,5.00
2018-01-26,1055.1700439453125,1516924800000,966.94,723.86,0.00,0.00,0.00,0.00,5.00
2018-01-27,1107.0699462890625,1517011200000,973.78,731.09,0.00,0.00,0.00,0.00,5.00
2018-01-28,1246.010009765625,1517097600000,987.06,740.80,0.00,0.00,0.00,0.00,5.00
2018-01-29,1182.3599853515625,1517184000000,996.58,749.13,0.00,0.00,0.00,0.00,5.00
2018-01-30,1071.1300048828125,1517270400000,1000.22,755.21,0.00,0.00,0.00,0.00,5.00
2018-01-31,1118.31005859375,1517356800000,1005.98,762.06,0.00,0.00,0.00,0.00,5.00
2018-02-01,1036.7900390625,1517443200000,1007.48,767.24,0.00,0.00,0.00,0.00,5.00
2018-02-02,915.7849731445312,1517529600000,1003.01,770.05,0.00,0.00,0.00,0.00,5.00
2018-02-03,964.0189819335938,1517616000000,1001.11,773.71,0.00,0.00,0.00,0.00,5.00
2018-02-04,834.6820068359375,1517702400000,992.99,774.86,0.00,0.00,0.00,0.00,5.00
2018-02-05,697.9509887695312,1517788800000,978.60,773.41,0.00,0.00,0.00,0.00,5.00
2018-02-06,793.1220092773438,1517875200000,969.55,773.78,0.00,0.00,0.00,0.00,5.00
2018-02-07,757.0679931640625,1517961600000,959.18,773.46,0.00,0.00,0.00,0.00,5.00
2018-02-08,817.8070068359375,1518048000000,952.29,774.30,0.00,0.00,0.00,0.00,5.00
2018-02-09,883.864990234375,1518134400000,948.95,776.37,0.00,0.00,0.00,0.00,5.00
2018-02-10,860.4149780273438,1518220800000,944.63,777.95,0.00,0.00,0.00,0.00,5.00
2018-02-11,814.6599731445312,1518307200000,938.29,778.64,0.00,0.00,0.00,0.00,5.00
2018-02-12,868.7069702148438,1518393600000,934.90,780.34,0.00,0.00,0.00,0.00,5.00
2018-02-13,845.2579956054688,1518480000000,930.52,781.57,0.00,0.00,0.00,0.00,5.00
2018-02-14,923.5609741210938,1518566400000,930.18,784.25,0.00,0.00,0.00,0.00,5.00
2018-02-15,936.9760131835938,1518652800000,930.52,787.13,0.00,0.00,0.00,0.00,5.00
2018-02-16,944.2100219726562,1518739200000,931.18,790.09,0.00,0.00,0.00,0.00,5.00
2018-02-17,974.114990234375,1518825600000,933.28,793.56,0.00,0.00,0.00,0.00,5.00
2018-02-18,923.9210205078125,1518912000000,932.82,796.02,0.00,0.00,0.00,0.00,5.00
2018-02-19,943.864990234375,1518998400000,933.36,798.81,0.00,0.00,0.00,0.00,5.00
2018-02-20,895.3709716796875,1519084800000,931.51,800.64,0.00,0.00,0.00,0.00,5.00
2018-02-21,849.9710083007812,1519171200000,927.53,801.57,0.00,0.00,0.00,0.00,5.00
2018-02-22,812.844970703125,1519257600000,921.94,801.78,0.00,0.00,0.00,0.00,5.00
2018-02-23,864.1890258789062,1519344000000,919.12,802.96,0.00,0.00,0.00,0.00,5.00
2018-02-24,840.5150146484375,1519430400000,915.28,803.67,0.00,0.00,0.00,0.00,5.00
2018-02-25,844.8099975585938,1519516800000,911.85,804.44,0.00,0.00,0.00,0.00,5.00
2018-02-26,869.3150024414062,1519603200000,909.77,805.67,0.00,0.00,0.00,0.00,5.00
2018-02-27,878.2650146484375,1519689600000,908.24,807.04,0.00,0.00,0.00,0.00,5.00
2018-02-28,855.198974609375,1519776000000,905.65,807.94,0.00,0.00,0.00,0.00,5.00
2018-03-01,872.2000122070312,1519862400000,904.02,809.16,0.00,0.00,0.00,0.00,5.00
2018-03-02,856.85302734375,1519948800000,901.72,810.06,0.00,0.00,0.00,0.00,5.00
2018-03-03,857.2249755859375,1520035200000,899.55,810.95,0.00,0.00,0.00,0.00,5.00
