date,price,timestamp,ema8,ema21,sma50,sma100,sma200,sma400,risk
2004-08-19,2.5110108852386475,1092922200000,2.51,2.51,0.00,0.00,0.00,0.00,5.00
2004-08-20,2.7104599475860596,1093008600000,2.52,2.51,0.00,0.00,0.00,0.00,5.00
2004-08-23,2.7377378940582275,1093267800000,2.53,2.52,0.00,0.00,0.00,0.00,5.00
2004-08-24,2.6243739128112793,1093354200000,2.54,2.52,0.00,0.00,0.00,0.00,5.00
2004-08-25,2.6526529788970947,1093440600000,2.54,2.52,0.00,0.00,0.00,0.00,5.00
2004-08-26,2.7004499435424805,1093527000000,2.55,2.53,0.00,0.00,0.00,0.00,5.00
2004-08-27,2.6564059257507324,1093613400000,2.55,2.53,0.00,0.00,0.00,0.00,5.00
2004-08-30,2.5528030395507812,1093872600000,2.55,2.53,0.00,0.00,0.00,0.00,5.00
2004-08-31,2.561811923980713,1093959000000,2.55,2.53,0.00,0.00,0.00,0.00,5.00
2004-09-01,2.508759021759033,1094045400000,2.55,2.53,0.00,0.00,0.00,0.00,5.00
2004-09-02,2.540290117263794,1094131800000,2.55,2.53,0.00,0.00,0.00,0.00,5.00
2004-09-03,2.5027530193328857,1094218200000,2.55,2.53,0.00,0.00,0.00,0.00,5.00
2004-09-07,2.5420420169830322,1094563800000,2.55,2.53,0.00,0.00,0.00,0.00,5.00
2004-09-08,2.5600600242614746,1094650200000,2.55,2.53,0.00,0.00,0.00,0.00,5.00
2004-09-09,2.560309886932373,1094736600000,2.55,2.53,0.00,0.00,0.00,0.00,5.00
2004-09-10,2.6358859539031982,1094823000000,2.55,2.53,0.00,0.00,0.00,0.00,5.00
2004-09-13,2.690190076828003,1095082200000,2.56,2.54,0.00,0.00,0.00,0.00,5.00
2004-09-14,2.7900400161743164,1095168600000,2.57,2.54,0.00,0.00,0.00,0.00,5.00
2004-09-15,2.8028030395507812,1095255000000,2.58,2.55,0.00,0.00,0.00,0.00,5.00
2004-09-16,2.852102041244507,1095341400000,2.60,2.55,0.00,0.00,0.00,0.00,5.00
2004-09-17,2.940190076828003,1095427800000,2.61,2.56,0.00,0.00,0.00,0.00,5.00
2004-09-20,2.9869871139526367,1095687000000,2.63,2.57,0.00,0.00,0.00,0.00,5.00
2004-09-21,2.948949098587036,1095773400000,2.65,2.57,0.00,0.00,0.00,0.00,5.00
2004-09-22,2.9624619483947754,1095859800000,2.66,2.58,0.00,0.00,0.00,0.00,5.00
2004-09-23,3.023524045944214,1095946200000,2.68,2.59,0.00,0.00,0.00,0.00,5.00
2004-09-24,2.998749017715454,1096032600000,2.70,2.60,0.00,0.00,0.00,0.00,5.00
2004-09-27,2.959459066390991,1096291800000,2.71,2.60,0.00,0.00,0.00,0.00,5.00
2004-09-28,3.1746749877929688,1096378200000,2.73,2.62,0.00,0.00,0.00,0.00,5.00
2004-09-29,3.280280113220215,1096464600000,2.76,2.63,0.00,0.00,0.00,0.00,5.00
2004-09-30,3.2432429790496826,1096551000000,2.78,2.64,0.00,0.00,0.00,0.00,5.00
2004-10-01,3.3178179264068604,1096637400000,2.81,2.65,0.00,0.00,0.00,0.00,5.00
2004-10-04,3.379879951477051,1096896600000,2.84,2.67,0.00,0.00,0.00,0.00,5.00
2004-10-05,3.4627130031585693,1096983000000,2.87,2.68,0.00,0.00,0.00,0.00,5.00
