date,price,timestamp,ema8,ema21,sma50,sma100,sma200,sma400,risk
2012-05-18,38.22999954223633,1337347800000,38.23,38.23,0.00,0.00,0.00,0.00,5.00
2012-05-21,34.029998779296875,1337607000000,38.03,38.15,0.00,0.00,0.00,0.00,5.00
2012-05-22,31,1337693400000,37.68,38.02,0.00,0.00,0.00,0.00,5.00
2012-05-23,32,1337779800000,37.41,37.90,0.00,0.00,0.00,0.00,5.00
2012-05-24,33.029998779296875,1337866200000,37.19,37.81,0.00,0.00,0.00,0.00,5.00
2012-05-25,31.90999984741211,1337952600000,36.93,37.70,0.00,0.00,0.00,0.00,5.00
2012-05-29,28.84000015258789,1338298200000,36.54,37.53,0.00,0.00,0.00,0.00,5.00
2012-05-30,28.190000534057617,1338384600000,36.13,37.36,0.00,0.00,0.00,0.00,5.00
2012-05-31,29.600000381469727,1338471000000,35.81,37.21,0.00,0.00,0.00,0.00,5.00
2012-06-01,27.719999313354492,1338557400000,35.42,37.03,0.00,0.00,0.00,0.00,5.00
2012-06-04,26.899999618530273,1338816600000,35.00,36.84,0.00,0.00,0.00,0.00,5.00
2012-06-05,25.8700008392334,1338903000000,34.56,36.63,0.00,0.00,0.00,0.00,5.00
2012-06-06,26.809999465942383,1338989400000,34.18,36.45,0.00,0.00,0.00,0.00,5.00
2012-06-07,26.309999465942383,1339075800000,33.80,36.26,0.00,0.00,0.00,0.00,5.00
2012-06-08,27.100000381469727,1339162200000,33.47,36.08,0.00,0.00,0.00,0.00,5.00
2012-06-11,27.010000228881836,1339421400000,33.15,35.91,0.00,0.00,0.00,0.00,5.00
2012-06-12,27.399999618530273,1339507800000,32.87,35.75,0.00,0.00,0.00,0.00,5.00
2012-06-13,27.270000457763672,1339594200000,32.60,35.59,0.00,0.00,0.00,0.00,5.00
2012-06-14,28.290000915527344,1339680600000,32.39,35.45,0.00,0.00,0.00,0.00,5.00
2012-06-15,30.010000228881836,1339767000000,32.27,35.35,0.00,0.00,0.00,0.00,5.00
2012-06-18,31.40999984741211,1340026200000,32.23,35.28,0.00,0.00,0.00,0.00,5.00
2012-06-19,31.90999984741211,1340112600000,32.22,35.21,0.00,0.00,0.00,0.00,5.00
2012-06-20,31.600000381469727,1340199000000,32.19,35.14,0.00,0.00,0.00,0.00,5.00
2012-06-21,31.84000015258789,1340285400000,32.17,35.08,0.00,0.00,0.00,0.00,5.00
