date,price,timestamp,ema8,ema21,sma50,sma100,sma200,sma400,risk
1999-01-04,35.25,915460200000,35.25,35.25,0.00,0.00,0.00,0.00,5.00
1999-01-05,36.625,915546600000,35.32,35.28,0.00,0.00,0.00,0.00,5.00
1999-01-06,37.8125,915633000000,35.44,35.32,0.00,0.00,0.00,0.00,5.00
1999-01-07,37.625,915719400000,35.55,35.37,0.00,0.00,0.00,0.00,5.00
1999-01-08,37.46875,915805800000,35.64,35.41,0.00,0.00,0.00,0.00,5.00
1999-01-11,36.875,916065000000,35.70,35.43,0.00,0.00,0.00,0.00,5.00
1999-01-12,35.546875,916151400000,35.69,35.44,0.00,0.00,0.00,0.00,5.00
1999-01-13,35.953125,916237800000,35.70,35.45,0.00,0.00,0.00,0.00,5.00
1999-01-14,35.4375,916324200000,35.69,35.45,0.00,0.00,0.00,0.00,5.00
1999-01-15,37.4375,916410600000,35.78,35.48,0.00,0.00,0.00,0.00,5.00
1999-01-19,38.90625,916756200000,35.93,35.55,0.00,0.00,0.00,0.00,5.00
1999-01-20,40.65625,916842600000,36.16,35.64,0.00,0.00,0.00,0.00,5.00
1999-01-21,39.578125,916929000000,36.33,35.72,0.00,0.00,0.00,0.00,5.00
1999-01-22,39.0625,917015400000,36.46,35.78,0.00,0.00,0.00,0.00,5.00
1999-01-25,40.46875,917274600000,36.66,35.87,0.00,0.00,0.00,0.00,5.00
1999-01-26,42.890625,917361000000,36.96,36.00,0.00,0.00,0.00,0.00,5.00
1999-01-27,42.15625,917447400000,37.21,36.12,0.00,0.00,0.00,0.00,5.00
1999-01-28,43.5,917533800000,37.52,36.26,0.00,0.00,0.00,0.00,5.00
1999-01-29,43.75,917620200000,37.82,36.40,0.00,0.00,0.00,0.00,5.00
1999-02-01,43.234375,917879400000,38.09,36.53,0.00,0.00,0.00,0.00,5.00
1999-02-02,41.90625,917965800000,38.27,36.63,0.00,0.00,0.00,0.00,5.00
1999-02-03,41.703125,918052200000,38.44,36.73,0.00,0.00,0.00,0.00,5.00
1999-02-04,39.765625,918138600000,38.51,36.78,0.00,0.00,0.00,0.00,5.00
1999-02-05,40,918225000000,38.58,36.84,0.00,0.00,0.00,0.00,5.00
1999-02-08,41.3125,918484200000,38.71,36.93,0.00,0.00,0.00,0.00,5.00
1999-02-09,40.015625,918570600000,38.78,36.99,0.00,0.00,0.00,0.00,5.00
1999-02-10,40.15625,918657000000,38.84,37.05,0.00,0.00,0.00,0.00,5.00
1999-02-11,40.6875,918743400000,38.93,37.11,0.00,0.00,0.00,0.00,5.00
1999-02-12,39.4375,918829800000,38.96,37.16,0.00,0.00,0.00,0.00,5.00
1999-02-16,39.0625,919175400000,38.96,37.19,0.00,0.00,0.00,0.00,5.00
1999-02-17,37.5,919261800000,38.89,37.20,0.00,0.00,0.00,0.00,5.00
1999-02-18,36.4375,919348200000,38.77,37.19,0.00,0.00,0.00,0.00,5.00
1999-02-19,36.9375,919434600000,38.68,37.18,0.00,0.00,0.00,0.00,5.00
1999-02-22,37.203125,919693800000,38.61,37.18,0.00,0.00,0.00,0.00,5.00
1999-02-23,38.859375,919780200000,38.62,37.21,0.00,0.00,0.00,0.00,5.00
1999-02-24,38.21875,919866600000,38.60,37.23,0.00,0.00,0.00,0.00,5.00
1999-02-25,38.375,919953000000,38.59,37.25,0.00,0.00,0.00,0.00,5.00
1999-02-26,37.53125,920039400000,38.54,37.26,0.00,0.00,0.00,0.00,5.00
1999-03-01,37.9375,920298600000,38.51,37.27,0.00,0.00,0.00,0.00,5.00
1999-03-02,37.140625,920385000000,38.44,37.27,0.00,0.00,0.00,0.00,5.00
1999-03-03,37.40625,920471400000,38.39,37.27,0.00,0.00,0.00,0.00,5.00
1999-03-04,38.0625,920557800000,38.38,37.29,0.00,0.00,0.00,0.00,5.00
