date,price,timestamp,ema8,ema21,sma50,sma100,sma200,sma400,risk
2010-06-29,1.5926669836044312,1277818200000,1.59,1.59,0.00,0.00,0.00,0.00,5.00
2010-06-30,1.5886670351028442,1277904600000,1.59,1.59,0.00,0.00,0.00,0.00,5.00
2010-07-01,1.4639999866485596,1277991000000,1.59,1.59,0.00,0.00,0.00,0.00,5.00
2010-07-02,1.2799999713897705,1278077400000,1.57,1.58,0.00,0.00,0.00,0.00,5.00
2010-07-06,1.0740000009536743,1278423000000,1.55,1.57,0.00,0.00,0.00,0.00,5.00
2010-07-07,1.053333044052124,1278509400000,1.52,1.56,0.00,0.00,0.00,0.00,5.00
2010-07-08,1.1640000343322754,1278595800000,1.51,1.56,0.00,0.00,0.00,0.00,5.00
2010-07-09,1.159999966621399,1278682200000,1.49,1.55,0.00,0.00,0.00,0.00,5.00
2010-07-12,1.136667013168335,1278941400000,1.47,1.54,0.00,0.00,0.00,0.00,5.00
2010-07-13,1.2093329429626465,1279027800000,1.46,1.54,0.00,0.00,0.00,0.00,5.00
2010-07-14,1.3226670026779175,1279114200000,1.45,1.53,0.00,0.00,0.00,0.00,5.00
2010-07-15,1.3259999752044678,1279200600000,1.45,1.53,0.00,0.00,0.00,0.00,5.00
2010-07-16,1.3760000467300415,1279287000000,1.44,1.52,0.00,0.00,0.00,0.00,5.00
2010-07-19,1.4606670141220093,1279546200000,1.44,1.52,0.00,0.00,0.00,0.00,5.00
2010-07-20,1.3533329963684082,1279632600000,1.44,1.52,0.00,0.00,0.00,0.00,5.00
2010-07-21,1.3480000495910645,1279719000000,1.43,1.52,0.00,0.00,0.00,0.00,5.00
2010-07-22,1.399999976158142,1279805400000,1.43,1.52,0.00,0.00,0.00,0.00,5.00
2010-07-23,1.4193329811096191,1279891800000,1.43,1.51,0.00,0.00,0.00,0.00,5.00
2010-07-26,1.3966670036315918,1280151000000,1.43,1.51,0.00,0.00,0.00,0.00,5.00
2010-07-27,1.3700000047683716,1280237400000,1.43,1.51,0.00,0.00,0.00,0.00,5.00
2010-07-28,1.3813329935073853,1280323800000,1.43,1.51,0.00,0.00,0.00,0.00,5.00
2010-07-29,1.3566670417785645,1280410200000,1.42,1.50,0.00,0.00,0.00,0.00,5.00
2010-07-30,1.329332947731018,1280496600000,1.42,1.50,0.00,0.00,0.00,0.00,5.00
2010-08-02,1.3946670293807983,1280755800000,1.42,1.50,0.00,0.00,0.00,0.00,5.00
2010-08-03,1.463333010673523,1280842200000,1.42,1.50,0.00,0.00,0.00,0.00,5.00
2010-08-04,1.4173330068588257,1280928600000,1.42,1.50,0.00,0.00,0.00,0.00,5.00
2010-08-05,1.363332986831665,1281015000000,1.42,1.49,0.00,0.00,0.00,0.00,5.00
2010-08-06,1.305999994277954,1281101400000,1.41,1.49,0.00,0.00,0.00,0.00,5.00
2010-08-09,1.3066669702529907,1281360600000,1.41,1.49,0.00,0.00,0.00,0.00,5.00
2010-08-10,1.2686669826507568,1281447000000,1.40,1.48,0.00,0.00,0.00,0.00,5.00
2010-08-11,1.1933330297470093,1281533400000,1.39,1.48,0.00,0.00,0.00,0.00,5.00
2010-08-12,1.1733330488204956,1281619800000,1.38,1.47,0.00,0.00,0.00,0.00,5.00
2010-08-13,1.2213330268859863,1281706200000,1.37,1.47,0.00,0.00,0.00,0.00,5.00
2010-08-16,1.2519999742507935,1281965400000,1.36,1.46,0.00,0.00,0.00,0.00,5.00
2010-08-17,1.2766669988632202,1282051800000,1.36,1.46,0.00,0.00,0.00,0.00,5.00
2010-08-18,1.2513329982757568,1282138200000,1.36,1.45,0.00,0.00,0.00,0.00,5.00
2010-08-19,1.25266695022583,1282224600000,1.35,1.45,0.00,0.00,0.00,0.00,5.00
2010-08-20,1.273332953453064,1282311000000,1.35,1.45,0.00,0.00,0.00,0.00,5.00
2010-08-23,1.3420000076293945,1282570200000,1.35,1.45,0.00,0.00,0.00,0.00,5.00
2010-08-24,1.2799999713897705,1282656600000,1.34,1.44,0.00,0.00,0.00,0.00,5.00
2010-08-25,1.3266669511795044,1282743000000,1.34,1.44,0.00,0.00,0.00,0.00,5.00
2010-08-26,1.3166669607162476,1282829400000,1.34,1.44,0.00,0.00,0.00,0.00,5.00
2010-08-27,1.3133330345153809,1282915800000,1.34,1.44,0.00,0.00,0.00,0.00,5.00
2010-08-30,1.324666976928711,1283175000000,1.34,1.43,0.00,0.00,0.00,0.00,5.00
2010-08-31,1.2986669540405273,1283261400000,1.34,1.43,0.00,0.00,0.00,0.00,5.00
2010-09-01,1.363332986831665,1283347800000,1.34,1.43,0.00,0.00,0.00,0.00,5.00
