date,price,timestamp,ema8,ema21,sma50,sma100,sma200,sma400,risk
1999-01-04,5.664062976837158,915460200000,5.66,5.66,0.00,0.00,0.00,0.00,5.00
1999-01-05,5.757812976837158,915546600000,5.67,5.67,0.00,0.00,0.00,0.00,5.00
1999-01-06,6,915633000000,5.68,5.67,0.00,0.00,0.00,0.00,5.00
1999-01-07,5.898437976837158,915719400000,5.70,5.68,0.00,0.00,0.00,0.00,5.00
1999-01-08,5.6875,915805800000,5.69,5.68,0.00,0.00,0.00,0.00,5.00
1999-01-11,5.773437976837158,916065000000,5.70,5.68,0.00,0.00,0.00,0.00,5.00
1999-01-12,5.640625,916151400000,5.70,5.68,0.00,0.00,0.00,0.00,5.00
1999-01-13,5.367187976837158,916237800000,5.68,5.67,0.00,0.00,0.00,0.00,5.00
1999-01-14,5.335937976837158,916324200000,5.66,5.67,0.00,0.00,0.00,0.00,5.00
1999-01-15,5.648437976837158,916410600000,5.66,5.67,0.00,0.00,0.00,0.00,5.00
1999-01-19,5.515625,916756200000,5.66,5.66,0.00,0.00,0.00,0.00,5.00
1999-01-20,5.445312976837158,916842600000,5.64,5.66,0.00,0.00,0.00,0.00,5.00
1999-01-21,5.210937976837158,916929000000,5.62,5.65,0.00,0.00,0.00,0.00,5.00
1999-01-22,5.5,917015400000,5.62,5.65,0.00,0.00,0.00,0.00,5.00
1999-01-25,5.40625,917274600000,5.61,5.64,0.00,0.00,0.00,0.00,5.00
1999-01-26,5.164062976837158,917361000000,5.59,5.63,0.00,0.00,0.00,0.00,5.00
1999-01-27,5.335937976837158,917447400000,5.57,5.63,0.00,0.00,0.00,0.00,5.00
1999-01-28,5.5625,917533800000,5.57,5.63,0.00,0.00,0.00,0.00,5.00
1999-01-29,5.59375,917620200000,5.57,5.63,0.00,0.00,0.00,0.00,5.00
1999-02-01,5.9375,917879400000,5.59,5.63,0.00,0.00,0.00,0.00,5.00
1999-02-02,5.875,917965800000,5.61,5.64,0.00,0.00,0.00,0.00,5.00
1999-02-03,5.890625,918052200000,5.62,5.64,0.00,0.00,0.00,0.00,5.00
1999-02-04,5.75,918138600000,5.63,5.64,0.00,0.00,0.00,0.00,5.00
1999-02-05,5.65625,918225000000,5.63,5.64,0.00,0.00,0.00,0.00,5.00
1999-02-08,5.5625,918484200000,5.62,5.64,0.00,0.00,0.00,0.00,5.00
1999-02-09,5.25,918570600000,5.61,5.63,0.00,0.00,0.00,0.00,5.00
1999-02-10,5.3125,918657000000,5.59,5.63,0.00,0.00,0.00,0.00,5.00
1999-02-11,5.453125,918743400000,5.58,5.63,0.00,0.00,0.00,0.00,5.00
