date,price,timestamp,ema8,ema21,sma50,sma100,sma200,sma400,risk
2010-09-09,101.31999969482422,1284039000000,101.32,101.32,0.00,0.00,0.00,0.00,5.00
2010-09-10,101.77999877929688,1284125400000,101.34,101.33,0.00,0.00,0.00,0.00,5.00
2010-09-13,103.05999755859375,1284384600000,101.43,101.36,0.00,0.00,0.00,0.00,5.00
2010-09-14,103.04000091552734,1284471000000,101.50,101.39,0.00,0.00,0.00,0.00,5.00
2010-09-15,103.30000305175781,1284557400000,101.59,101.43,0.00,0.00,0.00,0.00,5.00
2010-09-16,103.26000213623047,1284643800000,101.67,101.46,0.00,0.00,0.00,0.00,5.00
2010-09-17,103.36000061035156,1284730200000,101.76,101.50,0.00,0.00,0.00,0.00,5.00
2010-09-20,105.04000091552734,1284989400000,101.92,101.57,0.00,0.00,0.00,0.00,5.00
2010-09-21,104.72000122070312,1285075800000,102.05,101.63,0.00,0.00,0.00,0.00,5.00
2010-09-22,104.16000366210938,1285162200000,102.16,101.67,0.00,0.00,0.00,0.00,5.00
2010-09-23,103.30000305175781,1285248600000,102.21,101.70,0.00,0.00,0.00,0.00,5.00
2010-09-24,104.83999633789062,1285335000000,102.34,101.76,0.00,0.00,0.00,0.00,5.00
2010-09-27,104.33999633789062,1285594200000,102.44,101.81,0.00,0.00,0.00,0.00,5.00
2010-09-28,105.0199966430664,1285680600000,102.56,101.87,0.00,0.00,0.00,0.00,5.00
2010-09-29,104.5199966430664,1285767000000,102.66,101.92,0.00,0.00,0.00,0.00,5.00
2010-09-30,104.36000061035156,1285853400000,102.74,101.97,0.00,0.00,0.00,0.00,5.00
2010-10-01,104.72000122070312,1285939800000,102.84,102.02,0.00,0.00,0.00,0.00,5.00
2010-10-04,103.83999633789062,1286199000000,102.89,102.05,0.00,0.00,0.00,0.00,5.00
2010-10-05,106.12000274658203,1286285400000,103.04,102.13,0.00,0.00,0.00,0.00,5.00
2010-10-06,105.94000244140625,1286371800000,103.19,102.20,0.00,0.00,0.00,0.00,5.00
2010-10-07,105.87999725341797,1286458200000,103.32,102.27,0.00,0.00,0.00,0.00,5.00
2010-10-08,106.68000030517578,1286544600000,103.48,102.36,0.00,0.00,0.00,0.00,5.00
2010-10-11,106.5,1286803800000,103.63,102.43,0.00,0.00,0.00,0.00,5.00
2010-10-12,107.12000274658203,1286890200000,103.80,102.52,0.00,0.00,0.00,0.00,5.00
2010-10-13,107.76000213623047,1286976600000,103.99,102.62,0.00,0.00,0.00,0.00,5.00
2010-10-14,107.36000061035156,1287063000000,104.16,102.71,0.00,0.00,0.00,0.00,5.00
2010-10-15,107.55999755859375,1287149400000,104.32,102.80,0.00,0.00,0.00,0.00,5.00
2010-10-18,108.33999633789062,1287408600000,104.52,102.91,0.00,0.00,0.00,0.00,5.00
2010-10-19,106.62000274658203,1287495000000,104.62,102.98,0.00,0.00,0.00,0.00,5.00
2010-10-20,107.76000213623047,1287581400000,104.77,103.07,0.00,0.00,0.00,0.00,5.00
2010-10-21,107.91999816894531,1287667800000,104.93,103.16,0.00,0.00,0.00,0.00,5.00
2010-10-22,108.18000030517578,1287754200000,105.09,103.25,0.00,0.00,0.00,0.00,5.00
2010-10-25,108.5,1288013400000,105.25,103.35,0.00,0.00,0.00,0.00,5.00
2010-10-26,108.4800033569336,1288099800000,105.41,103.45,0.00,0.00,0.00,0.00,5.00
2010-10-27,108.13999938964844,1288186200000,105.54,103.54,0.00,0.00,0.00,0.00,5.00
2010-10-28,108.22000122070312,1288272600000,105.67,103.63,0.00,0.00,0.00,0.00,5.00
2010-10-29,108.30000305175781,1288359000000,105.80,103.71,0.00,0.00,0.00,0.00,5.00
2010-11-01,108.36000061035156,1288618200000,105.93,103.80,0.00,0.00,0.00,0.00,5.00
2010-11-02,109.19999694824219,1288704600000,106.09,103.90,0.00,0.00,0.00,0.00,5.00
2010-11-03,109.66000366210938,1288791000000,106.26,104.01,0.00,0.00,0.00,0.00,5.00
2010-11-04,111.72000122070312,1288877400000,106.53,104.16,0.00,0.00,0.00,0.00,5.00
2010-11-05,112.16000366210938,1288963800000,106.80,104.31,0.00,0.00,0.00,0.00,5.00
2010-11-08,112.0199966430664,1289226600000,107.06,104.45,0.00,0.00,0.00,0.00,5.00
2010-11-09,111.13999938964844,1289313000000,107.26,104.58,0.00,0.00,0.00,0.00,5.00
2010-11-10,111.55999755859375,1289399400000,107.47,104.71,0.00,0.00,0.00,0.00,5.00
2010-11-11,111.19999694824219,1289485800000,107.65,104.83,0.00,0.00,0.00,0.00,5.00
2010-11-12,109.81999969482422,1289572200000,107.75,104.93,0.00,0.00,0.00,0.00,5.00
2010-11-15,109.72000122070312,1289831400000,107.85,105.02,0.00,0.00,0.00,0.00,5.00
2010-11-16,107.95999908447266,1289917800000,107.86,105.07,0.00,0.00,0.00,0.00,5.00
2010-11-17,108.04000091552734,1290004200000,107.86,105.13,0.00,0.00,0.00,0.00,5.00
2010-11-18,109.63999938964844,1290090600000,107.95,105.22,0.00,0.00,0.00,0.00,5.00
2010-11-19,109.9000015258789,1290177000000,108.05,105.30,0.00,0.00,0.00,0.00,5.00
2010-11-22,109.80000305175781,1290436200000,108.13,105.39,0.00,0.00,0.00,0.00,5.00
2010-11-23,108.26000213623047,1290522600000,108.14,105.44,0.00,0.00,0.00,0.00,5.00
2010-11-24,109.66000366210938,1290609000000,108.21,105.52,0.00,0.00,0.00,0.00,5.00
2010-11-26,109.04000091552734,1290781800000,108.25,105.59,0.00,0.00,0.00,0.00,5.00
2010-11-29,108.94000244140625,1291041000000,108.29,105.65,0.00,0.00,0.00,0.00,5.00
2010-11-30,108.18000030517578,1291127400000,108.28,105.70,0.00,0.00,0.00,0.00,5.00
2010-12-01,110.62000274658203,1291213800000,108.39,105.79,0.00,0.00,0.00,0.00,5.00
2010-12-02,112.05999755859375,1291300200000,108.57,105.91,0.00,0.00,0.00,0.00,5.00
2010-12-03,112.33999633789062,1291386600000,108.76,106.03,0.00,0.00,0.00,0.00,5.00
2010-12-06,112.19999694824219,1291645800000,108.93,106.15,0.00,0.00,0.00,0.00,5.00
2010-12-07,112.23999786376953,1291732200000,109.09,106.26,0.00,0.00,0.00,0.00,5.00
2010-12-08,112.69999694824219,1291818600000,109.26,106.38,0.00,0.00,0.00,0.00,5.00
2010-12-09,113.12000274658203,1291905000000,109.45,106.51,0.00,0.00,0.00,0.00,5.00
2010-12-10,113.80000305175781,1291991400000,109.66,106.65,0.00,0.00,0.00,0.00,5.00
2010-12-13,113.86000061035156,1292250600000,109.87,106.79,0.00,0.00,0.00,0.00,5.00
2010-12-14,113.91999816894531,1292337000000,110.07,106.92,0.00,0.00,0.00,0.00,5.00
2010-12-15,113.41999816894531,1292423400000,110.23,107.04,0.00,0.00,0.00,0.00,5.00
2010-12-16,114.08000183105469,1292509800000,110.42,107.18,0.00,0.00,0.00,0.00,5.00
2010-12-17,114.23999786376953,1292596200000,110.60,107.31,0.00,0.00,0.00,0.00,5.00
2010-12-20,114.4800033569336,1292855400000,110.79,107.44,0.00,0.00,0.00,0.00,5.00
2010-12-21,115.18000030517578,1292941800000,111.01,107.59,0.00,0.00,0.00,0.00,5.00
2010-12-22,115.5999984741211,1293028200000,111.23,107.74,0.00,0.00,0.00,0.00,5.00
2010-12-23,115.41999816894531,1293114600000,111.44,107.89,0.00,0.00,0.00,0.00,5.00
2010-12-27,114.9800033569336,1293460200000,111.61,108.02,0.00,0.00,0.00,0.00,5.00
2010-12-28,115.0999984741211,1293546600000,111.78,108.15,0.00,0.00,0.00,0.00,5.00
2010-12-29,115.19999694824219,1293633000000,111.95,108.29,0.00,0.00,0.00,0.00,5.00
2010-12-30,115.0199966430664,1293719400000,112.10,108.41,0.00,0.00,0.00,0.00,5.00
2010-12-31,115.13999938964844,1293805800000,112.24,108.54,0.00,0.00,0.00,0.00,5.00
2011-01-03,116.22000122070312,1294065000000,112.44,108.69,0.00,0.00,0.00,0.00,5.00
2011-01-04,116.12000274658203,1294151400000,112.62,108.83,0.00,0.00,0.00,0.00,5.00
2011-01-05,116.73999786376953,1294237800000,112.82,108.97,0.00,0.00,0.00,0.00,5.00
2011-01-06,116.54000091552734,1294324200000,113.00,109.12,0.00,0.00,0.00,0.00,5.00
2011-01-07,116.30000305175781,1294410600000,113.16,109.25,0.00,0.00,0.00,0.00,5.00
2011-01-10,116.19999694824219,1294669800000,113.31,109.38,0.00,0.00,0.00,0.00,5.00
2011-01-11,116.58000183105469,1294756200000,113.47,109.52,0.00,0.00,0.00,0.00,5.00
